CountryA2,Denomination,Format,Regex,FixedCode,,
ET,Postal code,9999,^(\d{4})$,0,,
FI,Postinumero,99999,^(?:FI)*(\d{5})$,0,,
FJ,,-,,0,,
FK,Postcode,AAAA 9AA,^(FIQQ 1ZZ)$,1,,
FM,Zip code (US),99999,^(\d{5})$,0,,
FO,Postnumre (DK),999,^(?:FO)*(\d{3})$,0,,
FR,Code postal,99999,^(\d{5})$,0,,
GA,,-,,0,,
GB,Postcode,AA9 9AA,^(((([A-PR-UWYZ][0-9][0-9A-HJKS-UW]?)|([A-PR-UWYZ][A-HK-Y][0-9][0-9ABEHMNPRV-Y]?))\s{0,2}[0-9]([ABD-HJLNP-UW-Z]{2}))|(GIR\s{0,2}0AA))$,0
GD,,-,,0,,
GE,Post code,9999,^(\d{4})$,0,,
GF,Code postal (FR),99999,^((973)\d{2})$,1,,
GG,Postcode (UK),AA9 9AA,((GY)([0-9][0-9A-HJKPS-UW]?|[A-HK-Y][0-9][0-9ABEHMNPRV-Y]?) [0-9][ABD-HJLNP-UW-Z]{2}),1,,
GH,,-,,0,,
GI,Postcode (UK),AA99 9AA,^(GX11 1AA)$,1,,
GL,Postnumre (DK),9999,^(\d{4})$,0,,
GM,,-,,0,,
GN,Code postal,999,^(\d{3})$,0,,
GP,Code postal (FR),99999,^((971)[0-9][0-0])$,0,,
GQ,,-,,0,,
GR,T.K.,999 99,^(\d{3}) \d{2}$,0,,
GS,Post code,AAAA 9AA,^(SIQQ 1ZZ)$,1,,
GT,Código postal,99999,^(\d{5})$,0,,
GU,Zip Code (US),99999,^((969)[1-3][0-2])$,0,,
GW,Código postal,9999,^(\d{4})$,0,,
GY,,-,,0,,
HK,郵政編碼,999999,^(999077)$,1,,
HM,Postcode,9999,^(7151)$,1,,
HN,Código postal,99999,^(\d{5})$,0,,
HR,Zip,99999,^(?:HR)*(\d{5})$,0,,
HT,Code postal,9999,^(?:HT)*(\d{4})$,0,,
HU,Irányítószám,9999,^(\d{4})$,0,,
ID,Kodepos,99999,^(\d{5})$,0,,
IE,,-,,0,,
IL,Postal code,9999999,^\d{5}([]\d{4})?$,0,,
IM,Postcode (UK),AA99 9AA,((IM)([0-9][0-9A-HJKPS-UW]?|[A-HK-Y][0-9][0-9ABEHMNPRV-Y]?) [0-9][ABD-HJLNP-UW-Z]{2}),1,,
IN,PIN code,999999,^(\d{6})$,0,,
IO,Postcode,AA9A 9AA,^(BB9D 1ZZ)$,1,,
IQ,Postal code,99999,^(\d{5})$,0,,
IR,کد پستی,99999,^\d{5}([\-]\d{5})?$,0,,
IS,Póstnúmer,999,^(\d{3})$,0,,
IT,CAP,99999,^(\d{5})$,0,,
JE,Postcode (UK),AA9 9AA,(JE)([0-9]\d{1}),1,,
JM,Postal code,AAAAA99,^((JM)[A-Z]{3,3}\d{2,2})$,0
JO,Postal code,99999,^(\d{5})$,0,,
JP,郵便番号,999-9999,^(\d{3}-\d{4})$,0,,
KE,Postal code,99999,^(\d{5})$,0,,
KG,Почтовый индекс,999999,^(\d{6})$,0,,
KH,Postal code,99999,^(\d{5})$,0,,
KI,,-,,0,,
KM,,-,,0,,
KN,,-,,0,,
KP,,-,,0,,
KR,우편번호,99999,^(\d{5})$,0,,
KW,Postal code,99999,^(\d{5})$,0,,
KY,Postcode (UK),AA9-9999,^[K][Y][0-9]{1}[-]([0-9]){4}$,1,,
KZ,Почтового индекса,999999,^(\d{6})$,0,,
LA,Postal code,99999,^(\d{5})$,0,,
LB,Code postal,9999,^(\d{4}(\d{4})?)$,0,,
LC,,-,,0,,
LI,PLZ (CH),9999,^(\d{4})$,0,,
LK,Postcode,99999,^(\d{5})$,0,,
LR,Postal code,9999,^(\d{4})$,0,,
LS,Postal code,999,^(\d{3})$,0,,
LT,Pašto kodas,99999,^(?:LT)*(\d{5})$,0,,
LU,Code postal,9999,^(\d{4})$,0,,
LV,Pasta indekss,AA-9999,^[L]{1}[V]{1}[-]([0-9]){4}$,0,,
LY,Postal code,99999,^(\d{5})$,0,,
MA,Code postal,99999,^(\d{5})$,0,,
MC,Code postal (FR),99999,^(\d{5})$,0,,
MD,Coduri poştale,9999,^(?:MD)*(\d{4})$,0,,
ME,Поштански код,99999,^(\d{5})$,0,,
MF,Code postal (FR),99999,^(\d{5})$,0,,
MG,Code postal,999,^(\d{3})$,0,,
MH,ZIP code (US),99999,^((969)[6-7][0-9])$,1,,
MK,Поштенски код,9999,^(\d{4})$,0,,
ML,,-,,0,,
MM,Postal code,99999,^(\d{5})$,0,,
MN,Zipcode,99999,^(\d{5})$,0,,
MO,$郵政編碼,999999,^(999078)$,1,,
MP,Zip Code (US),99999,^(\d{5})$,0,,
MQ,Code postal (FR),99999,^(\d{5})$,0,,
MR,,-,,0,,
MS,Post code,AAA9999,^(?:MSR)*(\d{4})$,0,,
MT,Kodiċi Postali,AAA 9999,^[A-Z]{3} [0-9]{4}$,0,,
MU,Post code,A9999,^([0-9A-Z]\d{4})$,0,,
MV,Post code,99999,^(\d{5})$,0,,
MW,,-,,0,,
MX,Código postal,99999,^(\d{5})$,0,,
MY,Postal code,99999,^(\d{5})$,0,,
MZ,Código postal,9999,^(\d{4})$,0,,
NA,,-,,0,,
NC,Code postal (FR),99999,^(\d{5})$,0,,
NE,Code postal,9999,^(\d{4})$,0,,
NF,Post code,9999,^(2899)$,1,,
NG,Postal code,999999,^(\d{6})$,0,,
NI,Código postal,99999,^(\d{5})$,0,,
NL,Postcode,9999 AA,[0-9]{4} [A-Z]{2},0,,
NO,Postnummer,9999,^(\d{4})$,0,,
NP,Postal code,99999,^(\d{5})$,0,,
NR,,-,,0,,
NU,,-,,0,,
NZ,Postcode,9999,^(\d{4})$,0,,
OM,Postal code,999,^(\d{3})$,0,,
PA,,-,,0,,
PE,Código postal,99999,^(\d{5})$,0,,
PF,Code postal (FR),99999,^((987)\d{2})$,1,,
PG,Postal code,999,^(\d{3})$,0,,
PH,Zipcode,9999,^(\d{4})$,0,,
PK,Post code,99999,^(\d{5})$,0,,
PL,Kod pocztowy,99-999,^[0-9]{2}[-]([0-9]){3}$,0,,
PM,Code postal (FR),99999,^(\d{5})$,0,,
PN,Post code,AAA9 9AA,^(PCR9 1ZZ)$,1,,
PR,ZIP code (US),99999,^\d{5}((-|\s)?\d{4})?$,0,,
PS,Post code,999-999,^(\d{3}-\d{3})$,1,,
PT,Código postal,9999-999,^\d{4}((-|\s)?\d{3})?$,0,,
PW,Postal code,99999,^(96940)$,1,,
PY,Código postal,9999,^(\d{4})$,0,,
QA,,-,,0,,
RE,Code postal (FR),99999,[9]{1}[7|8][4|7|8]\d{2},0,,
RO,Cod poştal,999999,^(\d{6})$,0,,
RS,Поштански код,99999,^(\d{5})$,0,,
RU,Почтовый индекс,999999,^(\d{6})$,0,,
RW,,-,,0,,
SA,Postal code,99999-9999,^\d{5}([\-]\d{4})?$,0,,
SB,,-,,0,,
SC,,-,,0,,
SD,Postal code,99999,^(\d{5})$,0,,
SE,Postnummer,999 99,^(\d{3} \d{2})$,0,,
SG,Postal code,999999,^(\d{6})$,0,,
SH,Postcode (UK),AAAA 9AA,^(ASCN 1ZZ)$,1,,
SI,Poštna številka,9999,^(\d{4})$,0,,
SJ,Postnummer (NO),9999,^(\d{4})$,0,,
SK,PSČ,999 99,^(\d{3} \d{2})$,0,,
SL,,-,,0,,
SM,CAP (IT),99999,^(4789\d)$,0,,
SN,Code postal,99999,^(\d{5})$,0,,
SO,,-,,0,,
SR,,-,,0,,
SS,Postal code,99999,^(\d{5})$,0,,
ST,,-,,0,,
SV,Código postal,9999,^(1101)$,0,,
SX,Post code,9999 AA,^(0000 AA)$,1,,
SY,,-,,0,,
SZ,Postal code,A999,^([A-Z]\d{3})$,0,,
TC,Postcode (UK),AAAA 9AA,^(TKCA 1ZZ)$,1,,
TD,Postal code,99999,^(\d{5})$,0,,
TF,Code postal,99999,^((984)\d{2})$,1,,
TG,,-,,0,,
TH,รหัสไปรษณีย์,99999,^(\d{5})$,0,,
TJ,Нишонаи почта,999,^(\d{3})$,0,,
TK,,-,,0,,
TL,PCode,-,,0,,
TM,Почтовый индекс,999999,^(\d{6})$,0,,
TN,Code postal,9999,^(\d{4})$,0,,
TO,,-,,0,,
TR,Posta kodu,99999,^(\d{5})$,0,,
TT,,-,,0,,
TV,,-,,0,,
TW,郵遞區號,99999,^(\d{3}\d{2})|(\d{3})$,0,,
TZ,,-,,0,,
UA,Поштовий індекс,99999,^(\d{5})$,0,,
UG,,-,,0,,
US,ZIP code,99999-9999,^\d{5}([\-]\d{4})?$,0,,
UY,Código postal,99999,^(\d{5})$,0,,
UZ,Почтовый индекс,999999,^(\d{6})$,0,,
VA,CAP (IT),999,(120),1,,
VC,Postal code,AA9999,(VC)(\d{4}),0,,
VE,Código postal,9999,^(\d{4})$,0,,
VG,Postal code,AA9999,^(VG11)[0-6][0]$,0,,
VI,Zip Code (US),99999,^(\d{5})$,0,,
VN,Mã bưu chính,999999,^(\d{6})$,0,,
VU,,-,,0,,
WF,Code postal (FR),99999,,0,,
WS,Postal code,99999,,0,,
XK,Поштански код,99999,,0,,
YE,,-,,0,,
YT,Code postal (FR),99999,^(\d{5})$,0,,
ZA,Postal code,9999,^(\d{4})$,0,,
ZM,Postal code,99999,^(\d{5})$,0,,
ZW,,-,,0,,
